experiment_id	commit	timestamp	status	gate_count	cell_count	estimated_fmax_mhz	area	tests_passed	lint_passed	max_ulp_error	synth_time_s	description
1	24c23ae	2026-03-17T04:36:56	keep	34505	34505	171.3067967684686	215097.5456	True	True	8	6.849681709019933	Narrowed PI error pipeline from 16-bit to 1-bit (sign only) across stages 2-3, since anti-windup only uses the error sign bit — saves 30 FFs per PI instance (60 total).
2	9ade7fd	2026-03-17T04:38:39	keep	34165	34165	171.0583035121691	210384.2752	True	True	8	6.894247041956987	Removed 8 x 16-bit debug latch registers (128 FFs) from foc_top — submodule outputs are already registered and hold their values between FOC iterations, so Wishbone debug reads now go directly to the datapath wires.
3	34912f5	2026-03-17T04:41:08	keep	34035	34035	172.83963420219817	209271.9584	True	True	8	6.95991779101314	Removed 2x16-bit `stored_sin`/`stored_cos` latch registers (32 FFs) from foc_top — CORDIC output registers already hold sin/cos values stable between iterations, so Park and Inverse Park now read directly from the CORDIC outputs.
4	bae850f	2026-03-17T04:43:05	keep	33984	33984	171.73602798610312	208135.8688	True	True	8	6.988552124996204	Removed 3×10-bit `reg_duty_a/b/c` latch registers (30 FFs) from foc_top — SVPWM output registers already hold duty values stable between FOC iterations, so output pins and Wishbone debug reads now go directly to the SVPWM outputs.
5	838383f	2026-03-17T04:44:51	keep	33724	33724	170.5832582766997	206805.8432	True	True	8	6.938580374990124	Removed redundant input-delay registers `ia_d1` (16 FFs) from Clarke and `va_s1` (16 FFs) from SVPWM — inputs are stable during submodule execution since the FSM serializes all operations, so stage 2 can read the module inputs directly without a pipeline delay copy.
6	bfcf15a	2026-03-17T04:51:42	keep	33726	33726	171.4836421753729	206301.6096	True	True	8	7.059576750034466	Removed the 16-bit `i_alpha` output register from Clarke stage 2 — since `i_alpha = ia` (Clarke identity) and `ia` comes from `reg_ia` which is a stable Wishbone register, the value is always valid without needing a pipeline register. Park reads it only after Clarke completes, so timing is preserved. Saves 16 FFs.
7	f5cf2e6	2026-03-17T04:54:07	keep	33632	33632	168.4145287845692	204974.0864	True	True	8	7.346814624965191	Removed `u_p_s3` (16-bit) and `error_sign_s3` (1-bit) pipeline registers from PI controller stage 3 — stage 2 registers (`u_p_s2`, `error_sign_s2`) are stable when stage 4 fires because the FSM serializes PI execution, so no re-latching is needed. Saves 17 FFs per PI instance (34 FFs total across D and Q axes).
8	7f7dabc	2026-03-17T04:55:19	discard_not_improving	34719	34719	171.30885101440538	206566.864	True	True	8	6.939172667043749	Removed `cos_val`/`sin_val` output registers (32 FFs) from CORDIC — `x_reg`, `y_reg`, and `quad_reg` are stable from CORDIC completion through Park and Inverse Park execution, so post-correction outputs can be combinational.
9	bbb4ac7	2026-03-17T04:57:09	keep	34034	34034	188.6981150945283	205993.8144	True	True	8	6.67375220899703	Removed redundant two-level accumulator clamping in PI controller stage 3 — `int_max_ext` (max 30 bits) is always within the 32-bit accumulator range, so the intermediate `clamp_acc` against ACC_MAX/ACC_MIN was dead logic. Eliminating it saves 4×33-bit comparators across both PI instances.
10	3bfb3f1	2026-03-17T04:59:57	keep	34102	34102	189.91584828762376	205988.8096	True	True	8	6.759957875008695	Restructured SVPWM min/max to share 3 signed comparators between both computations instead of using 6 separate ones — saves 3×16-bit comparator/subtractor circuits while producing identical results (equal-value tie-breaking doesn't affect vmax/vmin values).
11	4d4eb0e	2026-03-17T05:05:30	discard_not_improving	34327	34327	147.9432193923972	209268.2048	True	True	8	6.936373125005048	Removed 3×16-bit pipeline registers (`va_s2`, `vb_s2`, `vc_s2` = 48 FFs) from SVPWM stage 2 — inputs `v_alpha`, `vb_s1`, `vc_s1` are stable registered values during SVPWM execution, so min/max/offset and phase adjustment can be computed combinationally in stage 3 without intermediate registering.
12	17d5e71	2026-03-17T05:12:36	discard_not_improving	34080	34080	188.98875894861774	206071.3888	True	True	8	6.472276417014655	Merged duplicate output-clamp comparators with anti-windup saturation detection in PI controller stage 4 — `saturated` flag now derived from the same if/else that computes `out_clamped`, eliminating 2×17-bit redundant comparators per PI instance (4 comparators total across D and Q axes).
13	b40faec	2026-03-17T05:24:37	keep	33823	33823	186.10260208658238	205344.4416	True	True	8	6.346226375026163	Replaced full-width signed constant comparisons with 1-bit XOR overflow detection across all 6 datapath modules (CORDIC `saturate`, Clarke/Park/InvPark `sat_add`, PI `clamp_dw`, SVPWM `sqrt3_mul`). This replaces pairs of multi-bit magnitude comparators with single-bit sign-mismatch checks — functionally identical but synthesizes to smaller logic since `val[N] != val[N-1]` is a 1-bit XOR vs two (N+1)-bit comparisons against constants.
14	dfa3477	2026-03-17T05:32:29	keep	33811	33811	188.07456780464318	205041.6512	True	True	8	6.414986041956581	Reduced CORDIC `iter` counter from 5 bits to 4 bits (`$clog2(16)=4` vs `$clog2(17)=5`) — iter only needs values 0–15, so the extra bit was wasted. This removes one mux level from both 16-bit barrel shifters (`x_reg >>> iter`, `y_reg >>> iter`) and saves 1 FF, reducing area and shortening the critical path through the shifters.
15	3890102	2026-03-17T05:34:26	keep	31697	31697	188.85384600857395	193578.1568	True	True	8	6.016940834000707	Replaced 3 SVPWM PWM-scaling multipliers (`v * 1023`) with shift-subtract (`(v << 10) - v`) — since `PWM_MAX = 2^PWM_BITS - 1`, the multiply by constant `1023` decomposes exactly into a shift and subtract, eliminating three 16×11-bit multipliers in favor of three 26-bit subtractors.
16	8a2af5c	2026-03-17T05:38:30	discard_no_metrics	31697	31697		193578.1568	True	True	8	0.1248417500173673	Replaced the Clarke transform's 16×16 constant multiplier (`sum_stage * INV_SQRT3`) with an equivalent 6-term shift-add chain, since INV_SQRT3 = 18919 = 2^14 + 2^11 + 2^9 - 2^5 + 2^3 - 2^0. This is algebraically identical (produces the exact same product for all inputs) but eliminates one hardware multiplier in favor of shifts and adders, reducing area similarly to experiment 15's SVPWM multiplier elimination.
17	26ef639	2026-03-17T05:40:21	keep	31269	31269	187.33608092918695	191487.4016	True	True	8	6.0176881669904105	Replaced the Clarke transform's 16×16 constant multiplier (`sum_stage * INV_SQRT3`) with a 6-term CSD shift-add chain (18919 = 2^14 + 2^11 + 2^9 - 2^5 + 2^3 - 2^0), eliminating one hardware multiplier in favor of shifts and adders to reduce area.
18	9733931	2026-03-17T05:41:57	discard_no_metrics	31269	31269		191487.4016	True	True	8	0.20151708298362792	**Summary:** Merged Park and Inverse Park transforms into a single shared `foc_rotate` module — they never execute concurrently (sequential FSM states), so sharing eliminates 4 of 8 16x16 multipliers plus duplicate pipeline registers, sat_add, and sat_neg logic, with only minimal mux overhead for input/mode selection.
